recipe_id,product_id
77,97
77,84
77,2
77,175
77,88
77,72
77,136
77,154
78,160
78,6
78,75
78,88
78,12
78,39
78,133
78,5
78,82
78,55
78,85
78,207
78,84
79,165
79,7
79,50
79,49
79,6
79,99
79,98
79,6
79,85
79,135
79,75
79,16
79,49
79,3
79,135
79,133
79,80
80,8
80,84
81,136
81,83
81,75
81,2
81,207
81,101
81,210
81,93
81,88
81,110
81,136
81,97
82,148
82,126
82,49
82,61
82,80
82,4
82,149
82,84
82,27
82,105
82,118
82,106
82,106
83,159
83,196
83,97
83,97
83,6
83,20
84,88
84,84
84,80
84,136
84,136
84,92
84,2
84,75
84,114
84,139
84,150
84,148
84,101
84,12
86,98
86,113
86,84
86,92
86,169
86,80
86,106
86,29
86,20
86,91
86,171
86,153
86,85
86,30
86,88
86,100
86,80
87,7
87,2
87,85
87,84
87,98
87,75
87,79
87,133
88,3
88,85
88,14
88,61
88,99
88,84
88,38
88,126
88,25
88,170
88,6
89,61
89,85
89,114
89,72
89,88
89,84
89,2
89,20
89,5
89,201
89,61
89,118
89,136
90,107
90,88
90,2
90,85
90,84
90,69
90,179
91,97
91,22
91,67
91,3
91,190
91,20
92,106
92,85
92,106
92,175
92,106
92,108
92,75
92,80
92,121
92,84
92,61
92,8
92,7
92,154
92,83
92,201
93,136
93,133
93,85
93,84
93,130
93,2
93,72
93,88
94,88
94,118
94,175
94,133
94,175
94,93
94,97
94,101
94,192
94,91
94,107
94,136
94,117
94,88
94,75
95,7
95,92
95,116
95,104
95,98
95,121
95,69
96,146
96,88
96,6
96,98
96,84
96,3
96,170
97,88
97,200
97,85
97,170
97,75
97,84
97,72
97,154
97,101
97,15
98,99
98,110
98,2
98,7
98,124
98,121
98,98
98,175
98,111
99,102
99,82
99,159
99,5
99,75
99,2
99,170
99,5
99,106
99,84
99,159
99,124
100,193
100,84
100,188
100,91
100,72
100,75
100,45
100,136
101,3
101,187
101,84
101,65
101,170
101,3
101,99
101,6
101,141
101,151
102,114
102,72
102,49
102,175
102,85
102,75
102,114
102,69
102,118
102,76
102,133
102,98
102,84
102,2
103,16
103,133
103,2
103,85
103,121
103,101
103,81
104,3
104,105
104,108
104,7
104,111
104,80
104,61
104,149
104,75
104,85
104,49
104,175
105,24
105,104
105,121
105,151
105,3
105,82
105,99
106,7
106,108
106,110
106,183
106,193
106,32
106,76
106,75
106,124
106,85
106,133
106,20
106,133
106,29
107,16
107,85
107,91
107,110
107,69
107,101
107,176
107,75
107,98
107,133
107,88
107,136
107,3
107,10
107,84
107,95
108,176
108,181
108,84
108,200
108,131
108,69
108,69
108,92
108,85
108,156
108,159
108,75
108,133
108,159
109,85
109,2
109,50
109,88
109,84
109,92
109,33
109,130
110,72
110,16
110,75
110,72
110,84
110,70
110,61
110,153
110,88
110,29
111,84
111,193
111,72
111,2
111,80
112,24
112,99
112,84
112,17
112,38
112,124
112,106
112,106
112,106
112,97
112,6
112,3
112,3
112,151
113,113
113,122
113,156
113,26
113,122
113,88
113,92
114,39
114,5
114,126
114,5
114,135
114,136
114,49
114,106
114,39
114,3
114,2
114,200
114,75
114,72
114,193
114,84
114,201
115,32
115,99
115,91
115,84
115,70
115,170
115,88
115,82
115,135
115,94
115,136
115,75
115,85
115,93
115,16
116,173
116,84
116,94
116,67
116,120
116,84
116,188
116,4
116,165
118,6
118,75
118,71
118,97
118,2
118,113
118,159
118,61
118,159
119,83
119,41
119,131
119,101
119,113
119,6
119,136
119,102
119,173
119,84
119,2
119,75
119,16
119,70
119,85
120,96
120,85
120,201
120,144
120,80
120,91
120,159
120,84
120,16
120,205
120,20
120,4
120,88
121,7
121,98
121,49
121,80
121,126
121,175
121,84
121,111
121,150
121,76
121,25
121,1
121,49
121,5
121,207
121,3
121,75
121,10
121,210
121,109
124,7
124,108
124,112
124,173
124,88
124,3
124,111
125,154
125,4
125,80
125,175
125,16
125,149
125,161
125,105
125,84
125,154
125,85
125,4
125,193
125,85
125,92
125,154
126,84
126,136
126,2
126,99
126,81
126,103
126,141
126,75
126,85
126,117
126,192
127,15
127,200
127,88
127,78
127,2
127,83
127,116
127,72
127,114
128,165
128,85
128,84
128,117
128,49
128,69
128,141
128,126
128,6
128,99
128,77
128,2
129,175
129,136
129,85
129,136
129,122
129,136
129,193
129,193
129,75
129,69
129,149
129,113
132,105
132,84
132,148
132,201
132,105
132,88
132,85
132,191
132,67
132,16
132,2
134,98
134,105
134,26
134,105
134,153
134,84
134,48
134,97
134,2
135,29
135,30
135,30
135,78
135,84
135,192
135,126
135,22
135,26
135,58
135,190
136,84
136,85
136,69
136,175
136,88
136,75
136,13
136,207
137,80
137,136
137,155
137,19
137,188
137,92
138,88
138,72
138,136
138,139
138,88
138,85
139,20
139,101
139,49
139,84
139,98
139,85
139,113
139,108
139,109
139,16
139,50
139,133
139,49
139,2
139,7
139,99
139,126
139,75
140,121
140,193
140,98
140,122
140,151
141,84
141,197
141,98
141,6
141,6
143,175
143,136
143,80
143,177
143,80
143,126
143,88
143,75
143,12
143,106
143,156
143,10
143,126
143,75
143,106
143,85
143,79
143,84
143,2
145,108
145,84
145,97
145,85
145,175
145,16
146,151
146,141
146,24
146,121
146,84
146,97
146,121
147,49
147,5
147,50
147,98
147,140
147,50
147,84
148,105
148,116
148,69
149,4
149,84
149,126
149,153
149,5
149,85
149,97
149,92
149,121
149,126
149,16
149,69
149,152
149,85
149,69
150,126
150,98
150,156
150,110
150,71
150,118
151,151
151,78
151,3
151,99
151,16
151,105
151,141
151,84
151,26
151,99
151,6
152,88
152,110
152,2
152,178
152,10
152,130
152,155
152,84
152,82
152,66
152,37
152,75
152,143
153,149
153,98
153,84
153,121
153,114
153,106
153,2
153,106
153,88
153,6
153,16
153,197
153,209
153,116
154,151
154,151
154,22
154,141
154,82
154,84
154,29
154,3
154,99
154,202
155,3
155,185
155,49
155,185
155,33
155,98
155,176
155,109
155,75
155,118
155,76
155,98
155,140
155,149
155,2
156,173
156,126
156,69
156,98
156,49
156,85
156,3
156,187
156,136
156,145
157,108
157,49
157,98
157,84
157,2
157,148
157,133
157,4
157,34
157,133
158,88
158,5
158,164
158,85
158,61
158,2
158,205
158,51
158,159
158,155
158,94
158,84
159,85
159,75
159,87
159,85
159,71
159,2
159,79
159,84
159,43
159,19
159,133
161,82
161,151
161,82
161,11
162,69
162,111
162,79
162,7
162,75
162,3
162,49
162,99
162,109
163,124
163,108
163,126
163,75
163,80
163,80
163,148
163,98
163,99
163,80
163,84
163,153
163,105
163,139
163,122
163,2
163,106
163,150
163,70
163,88
163,156
163,85
163,80
163,148
165,97
165,126
165,3
165,122
165,6
165,3
165,151
165,99
165,84
167,97
167,84
167,70
167,85
167,124
167,80
167,49
167,87
167,133
167,6
168,187
168,202
168,121
168,29
168,86
168,151
168,141
168,190
168,82
168,189
168,92
170,4
170,75
170,12
170,88
170,136
170,101
170,83
170,133
170,80
170,16
170,192
171,2
171,165
171,69
171,77
171,85
171,97
171,84
171,113
171,166
171,133
171,6
171,114
171,75
171,207
171,82
174,133
174,4
174,126
174,106
